source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,9.81,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,9.81,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,50.88,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.48,Methanol,#CC0066,TWh
Methanol,MTO,49.40,Methanol,#CC0066,TWh
Heat HT,MTO,13.13,Heat HT,#DC143C,TWh
MTO,HVC,39.80,HVC,#00FFFF,TWh
HVC,Non-energy demand,39.80,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,2.31,Diesel,#D3D3D3,TWh
Diesel,Freight,2.31,Diesel,#D3D3D3,TWh
Imp. Gas RE,Gas,60.43,Gas,#FFD700,TWh
Gas Prod,Gas sto.,13.78,GAS,#FFD700,TWh
Gas sto.,Gas,13.51,GAS,#FFD700,TWh
Gas Prod,Gas,-7.82,GAS,#FFD700,TWh
Gas,Mob public,1.62,GAS,#FFD700,TWh
Gas,CHP,56.15,GAS,#FFD700,TWh
Gas,Boilers,8.41,GAS,#FFD700,TWh
Electricity,Elec,32.44,Electricity,#00BFFF,TWh
Wind,Elec,42.26,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Wood,Boilers,9.45,Wood,#CD853F,TWh
Wet biomass,Biomethanation,14.10,Wood,#CD853F,TWh
Biomethanation,Gas Prod,5.96,GAS,#FFD700,TWh
Biomethanation,Elec,0.56,Electricity,#00BFFF,TWh
Elec,Mob priv,16.02,Electricity,#00BFFF,TWh
Elec,Mob public,1.54,Electricity,#00BFFF,TWh
Elec,Freight,1.20,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.59,Electricity,#00BFFF,TWh
Elec,Curt.,0.41,Electricity,#00BFFF,TWh
Elec,Elec demand,88.34,Electricity,#00BFFF,TWh
Solar,Curt.,0.59,Solar,#FFFF00,TWh
Wind,Curt.,0.71,Wind,#27AE34,TWh
Elec,Storage,2.94,Electricity,#00BFFF,TWh
Storage,Elec demand,2.54,Electricity,#00BFFF,TWh
Elec,HPs,29.48,Electricity,#00BFFF,TWh
Elec,HT sto,7.79,Electricity,#00BFFF,TWh
HT sto,Heat HT,7.68,Heat HT,#DC143C,TWh
Elec,Heat HT,3.80,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,13.16,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
H2,Freight,13.16,H2,#FF00FF,TWh
CHP,Elec,24.71,Electricity,#00BFFF,TWh
CHP,Heat HT,25.83,Heat HT,#DC143C,TWh
HPs,Dec. sto,14.12,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,50.02,Heat LT,#FA8072,TWh
HPs,DHN,39.24,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,13.05,Heat LT,#FA8072,TWh
Boilers,Heat HT,15.97,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,25.02,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.96,Heat LT,#FA8072,TWh
DHN,DHN Sto,12.26,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.03,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,40.15,Heat HT,#DC143C,TWh
